Fecha;MinTemp;MaxTemp;LluviaHoy;Presion9am;Presion3pm;Humedad9am;Humedad3pm;DirViento9am;DirViento3pm;LlueveManana
25-06-17;2.4;10.6;0.2;1017.5;1015.8;100.0;84.0;N;WNW;
25-06-17;5.5;13.9;0.0;1017.8;1015.5;72.0;58.0;N;NW;
25-06-17;7.6;19.3;0.0;1018.6;1015.4;73.0;32.0;W;W;
25-06-17;5.7;12.6;0.0;1003.8;1002.2;75.0;67.0;NNW;NNW;
25-06-17;6.8;19.5;0.0;1018.4;1015.2;67.0;42.0;NW;WSW;
25-06-17;-0.1;12.7;0.0;1020.8;1018.5;92.0;54.0;SSW;SSE;
25-06-17;9.3;15.4;7.4;1028.7;1026.7;100.0;70.0;WNW;SSW;
25-06-17;14.8;20.1;3.8;1015.1;1014.2;85.0;69.0;SW;SSW;
25-06-17;8.5;19.3;0.0;1020.2;1017.0;83.0;61.0;WSW;NNE;
25-06-17;16.5;25.8;0.0;1018.1;1015.7;61.0;53.0;SE;ENE;